Enhancer_row	Enhancer_ID	Enhancer_Chr	Enhancer_Start	Enhancer_End	Enhancer_Factor	Enhancer_Direction	enhancerID	insituID	Enhancer_Gd7	Enhancer_Toll10b	Enhancer_Toll9	Enhancer_Time	Background	Gene_row	Gene_geneID	Gene_Chr	Gene_Start	Gene_End	Gene_Strand	Gene_Direction	Gene_Factor	Gene_Gd7	Gene_Toll10b	Gene_Toll9	Gene_Time	EnhancerDistance	PROseq_Classification	ATACseq_Classification	pair_score	name	geneFunc	score	geneName	geneFuncFullText
112	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	0.450990331661412	-3.27280710411646	2.81180955084905	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
113	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	0.450990331661412	-3.27280710411646	2.81180955084905	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
114	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	0.450990331661412	-3.27280710411646	2.81180955084905	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
115	Region230	chr2L	2164421	2165493	Time	Up	None	region 7064	-0.458662748640488	-4.29576373823307	4.78671784942552	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
116	Region230	chr2L	2164421	2165493	Time	Up	None	region 7065	-0.458662748640488	-4.29576373823307	4.78671784942552	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
117	Region230	chr2L	2164421	2165493	Time	Up	None	region 7066	-0.458662748640488	-4.29576373823307	4.78671784942552	2.63851693947928	No	5891	FBgn0000097	chr2L	2158168	2160491	-	Up	Time	-0.315100555170791	-0.706274103015308	1.39180993951531	1.62056521800313	3929	Time Up	Time Up	4.25908215748241	Q01842	Ets DNA-binding protein pokkuri	1000	aop	<ul><li>Ets-related protein that functions as a negative regulator of photoreceptor development acting antagonistically to pnt and the proneural signal mediated by RAS (PubMed:1505027, PubMed:1495974, PubMed:8033205). It acts upstream of SINA to inhibit R7 development (PubMed:1505027, PubMed:1495974).</ul>
134	Region254	chr2L	2460885	2462662	Gd7	Up	region 14	None	7.73047762102305	-8.54090641242884	0.250988584396319	0.400830943225092	No	5910	FBgn0000490	chr2L	2455071	2458557	+	Up	Gd7	6.48117849718106	-4.76697150423632	-2.31523241262003	-1.45082930620761	2327	Gd7 Up	Gd7 Up	14.2116561182041	P07713	Protein decapentaplegic	1000	dpp	<ul><li>Required during oogenesis for eggshell patterning and dorsal/ventral patterning of the embryo. Acts as a morphogen during embryogenesis to pattern the dorsal/ventral axis, specifying dorsal ectoderm and amnioserosa cell fate within the dorsal half of the embryo; this activity is antagonized by binding to sog and tsg. Induces the formation of visceral mesoderm and the heart in early embryos. Required later in embryogenesis for dorsal closure and patterning of the hindgut. Also functions postembryonically as a long-range morphogen during imaginal disk development; is responsible for the progression of the morphogenetic furrow during eye development. Patterns the wing imaginal disk along its anterior/posterior axis and has a role in positioning pro-veins. Also required to subdivide the wing disk along the proximal/distal axis into body wall (notum) and wing. Ensures the correct architecture of wing epithelial cells. Has multiple roles in the developing tracheal system, controlling directed tracheal cell migration during embryogenesis and later specifying the fate of fusion cells in the tracheal branches. Required for viability of larvae. Essential for the maintenance and division of germline stem cells in the ovary. Signals via the type I receptor tkv, the type II receptor punt, and in some tissues via the type I receptor sax, in a signaling cascade that leads to activation and repression of target genes.</ul>
343	Region634	chr2L	7811303	7811724	Time	Up	None	None	1.16617193143945	0.519592962113865	-1.99217319262483	2.11775653460431	Yes	6262	FBgn0261800	chr2L	7814948	7820387	+	Up	Time	-0.542099264442347	0.716199741842177	-0.239314616438844	0.931661680964788	3223	Time Up	Time Up	3.0494182155691	P11046	Laminin subunit beta-1	1000	LanB1	<ul><li>Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components (By similarity). Required for Ndg localization to the basement membrane (PubMed:30260959).</ul>
690	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 319	region 8115	-9.58121640213817	18.3344317580054	-9.72636745245662	-2.08813929323414	No	6804	FBgn0015609	chr2L	17650387	17739518	-	Up	Toll10b	-3.98277923006615	7.3390270849515	-4.59094374663521	0.534998227359193	9062	Toll10b Up	Toll10b Up	25.6734588429569	O15943	Neural-cadherin	1000	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
691	Region1251	chr2L	17748581	17749250	Toll10b	Up	region 320	region 8115	-9.58121640213817	18.3344317580054	-9.72636745245662	-2.08813929323414	No	6804	FBgn0015609	chr2L	17650387	17739518	-	Up	Toll10b	-3.98277923006615	7.3390270849515	-4.59094374663521	0.534998227359193	9062	Toll10b Up	Toll10b Up	25.6734588429569	O15943	Neural-cadherin	1000	CadN	<ul><li>Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. May associate with arm neural isoform and participate in the transmission of developmental information.</ul>
