Chr	Start	End	Target	Score	IM_PET
chr2L	17566	19566	Ir21a	0.984	0
chr2L	17566	19566	FBgn0041250	0.929	0
chr2L	17566	19566	FBgn0031279	0.928	0
chr2L	26656	28656	spen	0.944	0
chr2L	26656	28656	FBgn0041250	0.93	0
chr2L	26656	28656	FBgn0031279	0.93	0
chr2L	28390	30390	spen	0.961	0
chr2L	28390	30390	FBgn0041250	0.93	0
chr2L	28390	30390	FBgn0031279	0.93	0
chr2L	33700	35700	FBgn0041250	0.931	0
chr2L	33700	35700	FBgn0031279	0.931	0
chr2L	33700	35700	GluRIIC	0.94	0
chr2L	34162	36162	FBgn0041250	0.931	0
chr2L	34162	36162	FBgn0031279	0.931	0
chr2L	34162	36162	GluRIIC	0.94	0
chr2L	34185	36185	FBgn0041250	0.931	0
chr2L	34185	36185	FBgn0031279	0.931	0
chr2L	34185	36185	GluRIIC	0.94	0
chr2L	35149	37149	FBgn0041250	0.931	0
chr2L	35149	37149	FBgn0031279	0.931	0
chr2L	35149	37149	GluRIIC	0.94	0
chr2L	35486	37486	FBgn0041250	0.931	0
chr2L	35486	37486	FBgn0031279	0.931	0
chr2L	35486	37486	GluRIIC	0.94	0
chr2L	88882	90882	FBgn0041250	0.981	0
chr2L	88882	90882	FBgn0031279	0.981	0
chr2L	88882	90882	GluRIIC	0.958	0
chr2L	89669	91669	FBgn0041250	0.981	0
chr2L	89669	91669	FBgn0031279	0.981	0
chr2L	89669	91669	GluRIIC	0.958	0
chr2L	90342	92342	FBgn0041250	0.981	0
chr2L	90342	92342	FBgn0031279	0.981	0
chr2L	90342	92342	GluRIIC	0.958	0
chr2L	93742	95742	FBgn0041250	0.981	0
chr2L	93742	95742	FBgn0031279	0.981	0
chr2L	93742	95742	GluRIIC	0.956	0
chr2L	94077	96077	CG31974	0.956	0
chr2L	94077	96077	FBgn0041250	0.981	0
chr2L	94077	96077	FBgn0031279	0.981	0
chr2L	94077	96077	GluRIIC	0.956	0
chr2L	94263	96263	CG31974	0.96	0
chr2L	94263	96263	FBgn0041250	0.981	0
chr2L	94263	96263	FBgn0031279	0.981	0
chr2L	101686	103686	FBgn0041250	0.979	0
chr2L	101686	103686	FBgn0031279	0.979	0
