"queryHits" "subjectHits"
"1" 2 267
"2" 2 268
"3" 2 269
"4" 2 270
"5" 2 271
"6" 2 272
"7" 5 371
"8" 5 372
"9" 5 373
"10" 5 374
"11" 7 792
"12" 7 793
"13" 7 794
"14" 7 795
"15" 7 796
"16" 7 797
"17" 7 798
"18" 7 799
"19" 7 800
"20" 12 831
"21" 12 832
"22" 12 833
"23" 22 1448
"24" 22 1449
"25" 22 1450
"26" 35 2056
"27" 35 2057
"28" 35 2058
"29" 35 2059
"30" 35 2060
"31" 35 2061
"32" 35 2062
"33" 35 2063
"34" 35 2064
"35" 35 2065
"36" 35 2066
"37" 35 2067
"38" 36 2059
"39" 36 2060
"40" 36 2061
"41" 36 2062
"42" 36 2063
"43" 36 2064
"44" 36 2065
"45" 36 2066
"46" 36 2067
"47" 41 2068
"48" 41 2069
"49" 41 2070
"50" 41 2071
"51" 41 2072
"52" 41 2073
"53" 42 2092
"54" 42 2093
"55" 42 2094
"56" 42 2095
"57" 42 2096
"58" 42 2097
"59" 42 2098
"60" 42 2099
"61" 42 2100
"62" 46 2143
"63" 46 2144
"64" 46 2145
"65" 46 2146
"66" 46 2147
"67" 46 2148
"68" 46 2149
"69" 46 2150
"70" 46 2151
"71" 46 2152
"72" 46 2153
"73" 46 2154
"74" 47 2146
"75" 47 2147
"76" 47 2148
"77" 47 2149
"78" 47 2150
"79" 47 2151
"80" 47 2152
"81" 47 2153
"82" 47 2154
"83" 47 2155
"84" 47 2156
"85" 47 2157
"86" 47 2158
"87" 47 2159
"88" 47 2160
"89" 47 2161
"90" 47 2162
"91" 47 2163
"92" 48 2237
"93" 48 2238
"94" 48 2239
"95" 48 2240
"96" 48 2241
"97" 48 2242
"98" 48 2243
"99" 48 2244
"100" 48 2245
"101" 48 2246
"102" 48 2247
"103" 48 2248
"104" 49 2237
"105" 49 2238
"106" 49 2239
"107" 49 2240
"108" 49 2241
"109" 49 2242
"110" 49 2243
"111" 49 2244
"112" 49 2245
"113" 49 2246
"114" 49 2247
"115" 49 2248
"116" 51 2249
"117" 51 2250
"118" 51 2251
"119" 51 2252
"120" 51 2253
"121" 51 2254
"122" 52 2249
"123" 52 2250
"124" 52 2251
"125" 52 2252
"126" 52 2253
