"queryHits" "subjectHits"
"1" 1 4
"2" 1 5
"3" 1 6
"4" 5 10
"5" 5 11
"6" 5 12
"7" 10 13
"8" 10 14
"9" 10 15
"10" 13 55
"11" 13 56
"12" 13 57
"13" 13 58
"14" 13 59
"15" 13 60
"16" 13 61
"17" 13 62
"18" 13 63
"19" 13 64
"20" 14 61
"21" 14 62
"22" 14 63
"23" 14 64
"24" 20 101
"25" 20 102
"26" 20 103
"27" 20 104
"28" 53 263
"29" 53 264
"30" 53 265
"31" 54 263
"32" 54 264
"33" 54 265
"34" 63 566
"35" 63 567
"36" 63 568
"37" 66 625
"38" 66 626
"39" 66 627
"40" 66 628
"41" 78 672
"42" 78 673
"43" 78 674
"44" 91 898
"45" 91 899
"46" 91 900
"47" 91 901
"48" 91 902
"49" 91 903
"50" 106 1138
"51" 106 1139
"52" 106 1140
"53" 106 1141
"54" 106 1142
"55" 106 1143
"56" 106 1144
"57" 106 1145
"58" 106 1146
"59" 109 1158
"60" 109 1159
"61" 109 1160
"62" 116 1470
"63" 116 1471
"64" 116 1472
"65" 116 1473
"66" 116 1474
"67" 116 1475
"68" 120 1552
"69" 120 1553
"70" 120 1554
"71" 121 1555
"72" 121 1556
"73" 121 1557
"74" 126 1731
"75" 126 1732
"76" 126 1733
"77" 129 1913
"78" 129 1914
"79" 129 1915
"80" 129 1916
"81" 129 1917
"82" 129 1918
"83" 129 1919
"84" 146 2120
"85" 146 2121
"86" 146 2122
"87" 147 2150
"88" 147 2151
"89" 147 2152
"90" 158 2246
"91" 158 2247
"92" 158 2248
"93" 158 2249
"94" 158 2250
"95" 158 2251
"96" 158 2252
"97" 158 2253
"98" 158 2254
"99" 158 2255
"100" 158 2256
"101" 158 2257
"102" 167 2606
"103" 167 2607
"104" 167 2608
"105" 173 2856
"106" 173 2857
"107" 173 2858
"108" 173 2859
"109" 173 2860
"110" 173 2861
"111" 173 2862
"112" 173 2863
"113" 173 2864
"114" 178 2935
"115" 178 2936
"116" 178 2937
"117" 183 2999
"118" 183 3000
"119" 183 3001
"120" 183 3002
"121" 183 3003
"122" 183 3004
"123" 183 3005
"124" 183 3006
"125" 183 3007
"126" 183 3008
"127" 183 3009
"128" 184 3007
"129" 184 3008
"130" 184 3009
"131" 189 3075
"132" 189 3076
"133" 189 3077
"134" 189 3078
"135" 189 3079
"136" 189 3080
"137" 194 3162
"138" 194 3163
"139" 194 3164
"140" 213 3461
"141" 213 3462
"142" 213 3463
"143" 219 3548
"144" 219 3549
"145" 219 3550
"146" 235 3765
"147" 235 3766
"148" 235 3767
"149" 235 3768
"150" 235 3769
"151" 235 3770
"152" 235 3771
"153" 235 3772
"154" 235 3773
"155" 252 4363
"156" 252 4364
"157" 252 4365
"158" 258 4734
"159" 258 4735
"160" 258 4736
